
[br01 BR New London 3.600000]
<跳跃>
BR Manchester: 3G (2.1, 1.4) (79978, -52343) jumpgate 
EW15_dsy_ga_lane_6_3: 5D (2.1, 1.0) (-20000, 11500) dsy_ga_lane 
EW15_dsy_ga_lane_6_4: 5C (1.4, 2.9) (-21000, 4000) dsy_ga_lane 
EW15_dsy_ga_lane_6_5: 4C (2.6, 2.8) (-22000, -3500) dsy_ga_lane 
EW15_dsy_ga_lane_6_6: 4C (1.9, 2.7) (-23000, -11000) dsy_ga_lane 
EW15_dsy_ga_lane_7_1: 3E (1.1, 2.7) (17300, -39300) dsy_ga_lane 
EW15_dsy_ga_lane_7_2: 2F (2.9, 1.4) (24475, -40975) dsy_ga_lane 
EW15_dsy_ga_lane_7_3: 2F (2.7, 2.2) (31650, -42650) dsy_ga_lane 
EW15_dsy_ga_lane_7_4: 2F (2.6, 2.9) (38825, -44325) dsy_ga_lane 
EW15_dsy_ga_lane_7_5: 2G (2.4, 1.6) (46000, -46000) dsy_ga_lane 
EW15_01_dock_ring: 4F (2.5, 1.4) (24000, -5430) gallic_ring 
EW15_01_docking_fixture: 4F (2.5, 1.4) (23870, -5000) docking_fixture 
EW15_02: 4C (1.8, 2.6) (-23500, -12300) space_factory01 
EW15_mplatform_01: 4C (1.7, 2.7) (-23470, -13030) mplatform 
EW15_mplatform_02: 4C (1.8, 2.6) (-24230, -12270) mplatform 
EW15_space_tankl2x2_01: 4C (1.7, 2.6) (-23672, -12828) space_tankl2x2 
EW15_space_tankl2x2_02: 4C (1.7, 2.6) (-23850, -12650) space_tankl2x2 
EW15_space_tankl2x2_03: 4C (1.8, 2.6) (-24028, -12472) space_tankl2x2 
EW15_space_tankl4x4_03: 4C (1.8, 2.6) (-23700, -12500) space_tankl4x4 
EW15_03: 5B (1.2, 2.4) (-46496, 2368) miningbase_FragB 
EW15_04: 3E (1.0, 2.6) (16100, -39800) outpost 
EW15_05: 6F (2.1, 1.3) (22650, 30774) largestation1 
EW15_space_solar_plant_01: 6F (2.0, 1.3) (22899, 29599) space_solar_plant 
EW15_space_solar_plant_02: 6F (2.2, 1.3) (22899, 31975) space_solar_plant 
EW15_shipyard_01: 6F (2.0, 1.3) (22899, 30068) shipyard 
EW15_shipyard_02: 6F (2.2, 1.3) (22899, 31502) shipyard 
EW15_ga_space_research_01: 6F (2.1, 1.3) (22899, 30785) ga_space_research 
EW15_06: 4G (2.0, 1.8) (47521, -10463) co_base_rock_large02 
EW15_07: 7D (1.8, 2.6) (-4000, 48000) miningbase_mineableB 
EW15_ga_small_wplatform_corse_1: 7D (1.8, 2.5) (-4600, 47900) wplatform_rock 
EW15_ga_small_wplatform_corse_2: 7D (1.8, 2.6) (-3500, 47700) wplatform_rock 
EW15_08: 6D (1.9, 1.2) (-17631, 28502) space_freeport01 
EW15_08_ga_tanks02_01: 6D (1.9, 1.3) (-17371, 28502) ga_tanks02 
EW15_08_ga_vertical_01: 6D (1.9, 1.2) (-17891, 28502) ga_vertical 
EW15_09: 6F (2.3, 1.0) (20000, 33000) ga_battleship 
EW15_10: 2G (2.5, 1.7) (47000, -45000) ga_battleship 
EW15_11: 7G (1.8, 1.9) (48900, 47500) space_police01 
EW15_12: 6G (1.4, 2.6) (55673, 23803) space_habitat_wide 
EW15_space_dome_01: 6G (1.4, 2.5) (55444, 24032) space_dome 
EW15_suprise_dsy_nl_councilgb_01: 5F (2.7, 2.6) (36310, 16515) suprise_dsy_nl_councilgb 
EW15_suprise_dsy_nl_ga_vhf_01: 4G (2.4, 1.1) (40876, -5508) suprise_dsy_nl_ga_vhf 
EW15_suprise_dsy_nl_ga_freighter_01: 4B (2.5, 2.3) (-46611, -4805) suprise_dsy_nl_ga_freighter 
EW15_suprise_dsy_nl_ga_civ_hf_01: 2C (1.9, 3.0) (-20390, -50924) suprise_dsy_nl_ga_civ_hf 
EW15_suprise_dsy_nl_councilbomber_01: 2E (2.0, 2.4) (13839, -49791) suprise_dsy_nl_councilbomber 
EW15_suprise_dsy_nl_cuirassiernoir_01: 4B (1.6, 2.7) (-42681, -14300) suprise_dsy_nl_cuirassiernoir 
EW15_suprise_dsy_nl_councilhf_01: 7F (1.9, 1.6) (25693, 48813) suprise_dsy_nl_councilhf 
EW15_suprise_dsy_nl_ga_vhf_02: 7D (2.1, 1.6) (-14166, 50729) suprise_dsy_nl_ga_vhf 
EW15_suprise_dsy_nl_ga_vhf_03: 3G (1.9, 1.4) (44223, -30924) suprise_dsy_nl_ga_vhf 
EW15_suprise_dsy_nl_councilhf_02: 6G (2.9, 2.3) (53264, 38966) suprise_dsy_nl_councilhf 
EW15_suprise_dsy_nl_councilhf_03: 5F (1.9, 2.6) (35984, 8813) suprise_dsy_nl_councilhf 
EW15_suprise_dsy_nl_councillf_01: 4C (1.2, 1.4) (-35637, -17627) suprise_dsy_nl_councillf 
EW15_suprise_dsy_nl_councillf_02: 5B (2.7, 2.9) (-40790, 16824) suprise_dsy_nl_councillf 
EW15_suprise_dsy_nl_ga_hf_01: 6F (1.1, 3.0) (39816, 20692) suprise_dsy_nl_ga_hf 
EW15_suprise_dsy_nl_ga_vhf_04: 2D (2.2, 2.7) (-2918, -47826) suprise_dsy_nl_ga_vhf 
EW15_suprise_dsy_nl_ga_bomber_01: 7C (2.0, 1.7) (-32845, 49816) suprise_dsy_nl_ga_bomber 
EW15_suprise_dsy_nl_ga_vhf_05: 6E (2.9, 1.3) (2871, 39327) suprise_dsy_nl_ga_vhf 

[ew16 GA Champagne 2.000000]
<跳跃>
GA Burgundy: 7B (1.2, 2.1) (-48995, 42235) jumpgate_ga 
GA Lorraine: 4G (1.9, 1.9) (49500, -10600) jumpgate_ga 
GA Burgundy: 2D (2.4, 2.9) (-1000, -46000) jumphole 
GA Lorraine: 6G (1.9, 1.5) (45000, 29000) jumphole 
GA Picardie: 6D (1.5, 1.5) (-15000, 25000) jumphole_orange 
<基地>
EW16_Sun1: 5E (1.0, 1.0) (0, 0) sun_2000 
EW16_Sun2: 7L (2.0, 2.0) (150000, 50000) sun_2000 
EW16_planet_1: 3G (2.7, 2.7) (57155, -22918) planet_icemntcld_2000 
EW16_planet_2: 3G (2.5, 2.3) (53342, -24728) planet_crater_800 
EW16_planet_3: 4C (2.7, 2.3) (-26855, -3097) planet_icemoon_800 
EW16_planet_4: 6F (1.1, 1.1) (21500, 20500) planet_earthcity_3000 
EW16_planet_4_npi: 6F (1.1, 1.1) (21500, 20500) planet_ice_200 
EW16_planet_5: 5C (1.4, 2.4) (-26473, 3699) planet_desormed_4000 
EW16_planet_6: 5F (1.3, 1.8) (28375, 2720) planet_rckdes_1000 
EW16_planet_7: 7F (1.3, 2.0) (30494, 43002) planet_icemoon_1500 
EW16_planet_9: 5C (1.4, 2.6) (-24402, 3694) planet_desert_800 
EW16_dsy_ga_lane_1_1: 7B (1.1, 2.3) (-47000, 40500) dsy_ga_lane 
EW16_dsy_ga_lane_1_2: 6B (2.3, 2.9) (-41000, 33250) dsy_ga_lane 
EW16_dsy_ga_lane_1_3: 6C (1.6, 1.5) (-35000, 26000) dsy_ga_lane 
EW16_dsy_ga_lane_1_4: 5C (2.9, 2.1) (-29000, 18750) dsy_ga_lane 
EW16_dsy_ga_lane_1_5: 5C (2.1, 2.7) (-23000, 11500) dsy_ga_lane 
EW16_dsy_ga_lane_2_1: 5C (1.9, 2.8) (-22000, 9500) dsy_ga_lane 
EW16_dsy_ga_lane_2_2: 5D (1.1, 1.2) (-18125, 1250) dsy_ga_lane 
EW16_dsy_ga_lane_2_3: 4D (2.3, 1.6) (-14250, -7000) dsy_ga_lane 
EW16_dsy_ga_lane_2_4: 4D (1.5, 2.0) (-10375, -15250) dsy_ga_lane 
EW16_dsy_ga_lane_2_5: 3D (2.6, 2.4) (-6500, -23500) dsy_ga_lane 
EW16_dsy_ga_lane_3_1: 5C (2.1, 2.9) (-21300, 10700) dsy_ga_lane 
EW16_dsy_ga_lane_3_2: 5D (2.2, 1.7) (-13340, 11860) dsy_ga_lane 
EW16_dsy_ga_lane_3_3: 5D (2.3, 2.5) (-5380, 13020) dsy_ga_lane 
EW16_dsy_ga_lane_3_4: 5E (2.4, 1.3) (2580, 14180) dsy_ga_lane 
EW16_dsy_ga_lane_3_5: 5E (2.5, 2.1) (10540, 15340) dsy_ga_lane 
EW16_dsy_ga_lane_3_6: 5E (2.6, 2.9) (18500, 16500) dsy_ga_lane 
EW16_dsy_ga_lane_4_1: 5F (2.5, 1.2) (22000, 15500) dsy_ga_lane 
EW16_dsy_ga_lane_4_2: 5F (1.9, 1.8) (28375, 9250) dsy_ga_lane 
EW16_dsy_ga_lane_4_3: 5F (1.3, 2.5) (34750, 3000) dsy_ga_lane 
EW16_dsy_ga_lane_4_4: 4G (2.7, 1.1) (41125, -3250) dsy_ga_lane 
EW16_dsy_ga_lane_4_5: 4G (2.0, 1.8) (47500, -9500) dsy_ga_lane 
EW16_01_dock_ring: 6F (1.3, 1.3) (23000, 23300) gallic_ring 
EW16_01_docking_fixture: 6F (1.3, 1.3) (23400, 23070) docking_fixture 
EW16_ga_space_industrial01_01: 3D (2.5, 2.4) (-5650, -24800) ga_space_industrial01 
EW16_03: 5C (2.0, 2.6) (-23833, 10065) space_factory02 
EW16_shipyard_01: 5C (2.0, 2.6) (-23672, 9904) shipyard 
EW16_mplatform_01: 5C (2.0, 2.6) (-23613, 9856) mplatform 
EW16_space_habitat_wide_01: 5C (2.0, 2.7) (-23306, 9894) space_habitat_wide 
EW16_space_habitat_wide_02: 5C (2.0, 2.6) (-23661, 9538) space_habitat_wide 
EW16_space_solar_pnl_01: 5C (2.0, 2.6) (-23661, 9539) space_solar_pnl 
EW16_space_solar_pnl_02: 5C (2.0, 2.7) (-23306, 9893) space_solar_pnl 
EW16_04: 3C (2.0, 1.1) (-38553, -30393) space_freeport01 
EW16_ga_space_industrial_01: 3C (1.9, 1.1) (-38553, -30763) ga_space_industrial 
EW16_space_tankl2_01: 3C (2.0, 1.1) (-38812, -30384) space_tankl2 
EW16_ga_wplatform_rock_1: 3C (2.0, 1.2) (-37687, -30323) wplatform_rock 
EW16_ga_wplatform_rock_2: 3C (2.1, 1.1) (-38708, -29273) wplatform_rock 
EW16_05: 5F (2.5, 1.0) (20100, 14537) smallstation1_old 
EW16_shipyard_02: 5F (2.5, 1.0) (20140, 14640) shipyard 
EW16_06: 3E (1.5, 2.5) (15000, -35000) miningbase_small_ice 
EW16_07: 4G (1.9, 1.8) (47500, -11000) cou_battleship 
EW16_08_dock_ring: 5F (2.7, 1.1) (20700, 17400) gallic_ring 
EW16_08_docking_fixture: 5F (2.7, 1.1) (21100, 17350) docking_fixture 
EW16_09: 7B (1.2, 2.3) (-46710, 41902) space_police01 
EW16_space_industrial02_01: 7B (1.2, 2.3) (-46710, 42390) space_industrial02 
EW16_10: 6B (2.2, 1.1) (-58548, 31789) miningbase_FragB 
EW16_space_industrial02_02: 6B (2.2, 1.1) (-58901, 32155) space_industrial02 
GA11_02: 5C (2.2, 2.8) (-21700, 12000) ga_battleship 
EW16_debris_large01_01: 5B (2.0, 2.3) (-46850, 9926) debris_large01 
EW16_debris_large01_1: 4F (1.8, 2.7) (37212, -11884) debris_med02 
EW16_suprise_dsy_nl_gallicgb_01: 5G (2.8, 2.2) (52172, 18336) suprise_dsy_nl_gallicgb 
EW16_suprise_dsy_nl_ga_vhf_01: 3G (1.8, 1.2) (42203, -31516) suprise_dsy_nl_ga_vhf 
EW16_suprise_dsy_nl_councillf_01: 3B (2.9, 2.0) (-49905, -20519) suprise_dsy_nl_councillf 
EW16_suprise_dsy_nl_council_freighter_01: 7C (1.4, 1.5) (-35244, 44159) suprise_dsy_nl_council_freighter 
EW16_suprise_dsy_nl_cuirassier_01: 4H (2.9, 1.6) (66089, -676) suprise_dsy_nl_cuirassier 
EW16_suprise_dsy_nl_jaguar_01: 7D (1.4, 2.6) (-3523, 44488) suprise_dsy_nl_jaguar 
EW16_suprise_dsy_nl_courier_01: 2D (2.8, 1.8) (-11845, -42231) suprise_dsy_nl_courier 
EW16_suprise_dsy_nl_councilhf_01: 4B (2.3, 2.5) (-44707, -7153) suprise_dsy_nl_councilhf 
EW16_suprise_dsy_nl_councilhf_02: 7E (1.7, 2.3) (13262, 47225) suprise_dsy_nl_councilhf 
EW16_suprise_dsy_nl_councillf_02: 5A (1.9, 2.8) (-61874, 8583) suprise_dsy_nl_councillf 
EW16_suprise_dsy_nl_councillf_03: 4G (2.8, 2.1) (51144, -1788) suprise_dsy_nl_councillf 
EW16_suprise_dsy_nl_councilbomber_01: 6C (2.3, 2.4) (-26166, 32546) suprise_dsy_nl_councilbomber 
EW16_suprise_dsy_nl_ga_hf_01: 7C (1.2, 2.9) (-21459, 42203) suprise_dsy_nl_ga_hf 
EW16_suprise_dsy_nl_ga_lf_01: 3F (1.8, 1.1) (21459, -31788) suprise_dsy_nl_ga_lf 
EW16_suprise_dsy_nl_ga_vhf_02: 7D (1.7, 2.7) (-3340, 47047) suprise_dsy_nl_ga_vhf 

[ew17 GA Lorraine 2.000000]
<跳跃>
GA Champagne: 3B (2.5, 2.5) (-45500, -25000) jumpgate_ga 
GA Lyonnais: 2F (1.8, 1.6) (26115, -52275) jumpgate_ga 
GA Champagne: 6D (1.9, 1.2) (-18000, 29000) jumphole 
GA Lyonnais: 6F (2.7, 1.5) (25000, 37000) jumphole_light 
HI Omicron-80: 4G (2.2, 1.8) (48000, -8059) jumphole 
<基地>
EW17_Sun1: 5E (1.0, 1.0) (0, 0) sun_2000 
EW17_Sun2: 10G (2.0, 2.0) (50000, 110000) sun_2000 
EW17_Sun3: 0E (2.0, 2.0) (10000, -110000) sun_1000 
EW17_planet_1: 3D (2.0, 2.9) (-1000, -30000) planet_gasgrncld_3000 
EW17_planet_2: 4C (1.2, 2.1) (-28953, -18303) planet_gasicecld_2000 
EW17_planet_3: 3E (2.8, 1.0) (298, -21863) planet_moonblu_1000 
EW17_planet_4: 6E (2.9, 1.6) (6372, 38584) planet_moonblu_2000 
EW17_planet_5: 5F (1.4, 1.8) (28193, 4174) planet_gasblucld_5000 
EW17_planet_6: 3F (3.0, 1.4) (24323, -20465) planet_moonred_1500 
EW17_planet_7: 5F (1.1, 2.7) (36952, 901) planet_mercury_1000 
EW17_planet_8: 4B (2.6, 1.8) (-52270, -4429) planet_mercury_1500 
EW17_dsy_ga_lane_1_1: 3E (2.3, 1.1) (1500, -27000) dsy_ga_lane 
EW17_dsy_ga_lane_1_2: 3E (1.7, 1.7) (7250, -32875) dsy_ga_lane 
EW17_dsy_ga_lane_1_3: 3E (1.1, 2.3) (13000, -38750) dsy_ga_lane 
EW17_dsy_ga_lane_1_4: 2E (2.5, 2.9) (18750, -44625) dsy_ga_lane 
EW17_dsy_ga_lane_1_5: 2F (1.9, 1.4) (24500, -50500) dsy_ga_lane 
EW17_dsy_ga_lane_2_1: 3B (2.5, 2.7) (-43000, -24500) dsy_ga_lane 
EW17_dsy_ga_lane_2_2: 3C (2.5, 1.6) (-34500, -24900) dsy_ga_lane 
EW17_dsy_ga_lane_2_3: 3C (2.5, 2.4) (-26000, -25300) dsy_ga_lane 
EW17_dsy_ga_lane_2_4: 3D (2.4, 1.2) (-17500, -25700) dsy_ga_lane 
EW17_dsy_ga_lane_2_5: 3D (2.4, 2.1) (-9000, -26100) dsy_ga_lane 
EW17_dsy_ga_lane_2_6: 3D (2.4, 3.0) (-500, -26500) dsy_ga_lane 
EW17_01: 3E (2.5, 1.0) (310, -25315) space_mining01 
EW17_space_dome_01: 3E (2.4, 1.0) (310, -25713) space_dome 
EW17_space_dome_04: 3D (2.4, 3.0) (-34, -25714) space_dome 
EW17_space_dome_05: 3E (2.4, 1.1) (654, -25714) space_dome 
EW17_02: 2D (2.6, 1.1) (-18534, -44281) miningbase_FragC 
EW17_depot_basic_alloys_1: 2D (2.6, 1.1) (-18900, -44000) depot_basic_alloys 
EW17_depot_basic_alloys_2: 2D (2.6, 1.1) (-18850, -43950) depot_basic_alloys 
EW17_depot_basic_alloys_1_low: 2D (2.6, 1.1) (-18900, -44000) depot_basic_alloys 
EW17_depot_basic_alloys_2_low: 2D (2.6, 1.1) (-18850, -43950) depot_basic_alloys 
EW17_03: 4F (1.1, 1.2) (22220, -18931) smallstation1 
EW17_space_solar_plant_01: 4F (1.1, 1.3) (22526, -18521) space_solar_plant 
EW17_space_solar_plant_02: 4F (1.1, 1.2) (21808, -19239) space_solar_plant 
EW17_space_solar_pnl_01: 4F (1.1, 1.2) (22252, -18964) space_solar_pnl 
EW17_space_solar_pnl_02: 4F (1.1, 1.3) (22526, -18521) space_solar_pnl 
EW17_space_solar_pnl_03: 4F (1.1, 1.2) (21808, -19239) space_solar_pnl 
EW17_04: 4G (1.7, 1.0) (40000, -13000) outpost 
EW17_06: 3F (1.5, 2.8) (38189, -34735) miningbase_small_ice 
EW17_ga_small_wplatform_corse_3: 3F (1.5, 2.8) (37943, -35470) wplatform_rock2 
EW17_ga_small_wplatform_corse_4: 3F (1.6, 2.8) (38417, -34176) wplatform_rock 
EW17_07: 3B (2.6, 2.6) (-43500, -23500) ga_battleship 
EW17_08: 6G (1.5, 1.0) (40000, 25000) miningbase_FragA 
EW17_debris_xlarge01_01: 2D (1.9, 2.4) (-5756, -50730) debris_xlarge01 
EW17_debris_xlarge01_02: 2D (2.6, 1.2) (-18274, -44328) debris_xlarge01 
EW17_suprise_dsy_nl_ga_hf_01: 2C (1.6, 2.6) (-24359, -53973) suprise_dsy_nl_ga_hf 
EW17_suprise_dsy_nl_ga_civ_lf_01: 6F (2.0, 2.2) (31548, 29748) suprise_dsy_nl_ga_civ_lf 
EW17_suprise_dsy_nl_ga_lf_01: 5B (1.8, 1.6) (-53526, 8070) suprise_dsy_nl_ga_lf 
EW17_suprise_dsy_nl_mistralnoir_01: 2G (2.4, 1.4) (43958, -46454) suprise_dsy_nl_mistralnoir 
EW17_suprise_dsy_nl_jaguarnoir_01: 6C (2.3, 1.7) (-32785, 32676) suprise_dsy_nl_jaguarnoir 
EW17_suprise_dsy_nl_courier_01: 4B (2.0, 2.4) (-46404, -9597) suprise_dsy_nl_courier 
EW17_suprise_dsy_nl_councilhf_01: 2D (1.9, 1.6) (-14485, -51234) suprise_dsy_nl_councilhf 
EW17_suprise_dsy_nl_councilhf_02: 4E (1.7, 1.3) (3487, -13412) suprise_dsy_nl_councilhf 
EW17_suprise_dsy_nl_councilhf_03: 3G (2.6, 1.9) (49088, -24410) suprise_dsy_nl_councilhf 
EW17_suprise_dsy_nl_councilhf_04: 4G (2.5, 1.1) (41500, -4500) suprise_dsy_nl_councilhf 
EW17_suprise_dsy_nl_councillf_01: 3B (2.3, 2.7) (-42650, -27092) suprise_dsy_nl_councillf 
EW17_suprise_dsy_nl_councilbomber_01: 6G (1.8, 1.3) (43332, 28418) suprise_dsy_nl_councilbomber 
EW17_suprise_dsy_nl_councilbomber_02: 2E (2.7, 1.9) (8688, -42521) suprise_dsy_nl_councilbomber 
EW17_suprise_dsy_nl_ga_hf_02: 5C (2.6, 1.7) (-32725, 15558) suprise_dsy_nl_ga_hf 
EW17_suprise_dsy_nl_ga_vhf_01: 3G (1.4, 2.6) (55551, -35820) suprise_dsy_nl_ga_vhf 

[ew18 EW Omicron Lambda 2.250000]
<跳跃>
0
<基地>
EW18_Sun1: 4G (1.3, 1.7) (52571, -18588) sun_1000 
EW18_02: 4D (2.8, 2.9) (-589, -2712)  
EW18_dock_ring_1: 4E (2.8, 1.1) (1500, -2191)  
EW18_02_docking_fixture: 4E (2.8, 1.1) (1500, -2191) docking_fixture 

[ew19 EW Cayman (RoS) 2.125000]
<跳跃>
EW Omega-49: 6B (1.5, 3.0) (-43000, 27000) jumphole_light 
EW Omega-47: 6G (1.3, 1.5) (48220, 24000) jumphole_orange 
HI Omicron-91 (Corsairs): 2E (2.9, 2.4) (14422, -43792) jumphole_orange 
<基地>
EW19_Sun1: 2C (2.3, 2.6) (-25000, -50000) sun_1000 
EW19_planet_1: 5E (1.0, 1.0) (0, 0) planet_earthgrncld_4000 
EW19_planet_2: 5E (1.9, 1.5) (5329, 9314) planet_crater_800 
EW19_planet_3: 6G (2.6, 1.5) (48220, 38331) planet_gasyelcld_6000 
EW19_ou_procurator_nodock_1: 6B (1.6, 2.6) (-47044, 27288) ou_procurator_nodock 
EW19_01: 5D (2.1, 1.8) (-12932, 11158) dsy_solarstation 
EW19_solararray_01: 5D (2.2, 1.8) (-12981, 12633) dsy_solararray 
EW19_solararray_02: 5D (2.0, 1.7) (-14181, 10417) dsy_solararray 
EW19_solararray_03: 5D (2.0, 1.9) (-11643, 10488) dsy_solararray 
EW19_02: 4C (1.3, 1.2) (-40142, -18177) dsy_Residential_base 
EW19_Habitat_tube_01: 4C (1.3, 1.2) (-40452, -18231) dsy_Habitat_Tube 
EW19_Habitat_tube_02: 4C (1.3, 1.3) (-39837, -18231) dsy_Habitat_Tube 
EW19_block_01: 4C (1.3, 1.2) (-40821, -18229) dsy_Residential_Block 
EW19_block_02: 4C (1.3, 1.3) (-39467, -18229) dsy_Residential_Block 
EW19_Quad_01: 4C (1.3, 1.2) (-40149, -18470) dsy_Quad_Connector 
EW19_Quad_02: 4C (1.2, 1.2) (-40149, -19656) dsy_Quad_Connector 
EW19_Quad_03: 4C (1.0, 1.2) (-40149, -20727) dsy_Quad_Connector 
EW19_solarpnl_01: 4C (1.0, 1.2) (-40015, -20727) space_solar_pnl 
EW19_solarpnl_01: 4C (1.0, 1.2) (-40284, -20727) space_solar_pnl 
EW19_Gyro_01: 4C (1.2, 1.2) (-40149, -19058) dsy_Gyroscope 
EW19_Module_01: 4C (1.1, 1.2) (-40178, -20219) dsy_Module 
EW19_Habitat_01: 4C (1.3, 1.2) (-40149, -18472) dsy_Habitat_Pods 
EW19_Habitat_02: 4C (1.1, 1.2) (-40149, -19658) dsy_Habitat_Pods 
EW19_03: 3F (1.9, 3.0) (42209, -33189) dsy_pi_shipyard 
EW19_shipyard2_01: 3F (1.9, 3.0) (42163, -33099) dsy_shipyard2 
EW19_shipyard_addon_01: 3F (1.9, 2.9) (41573, -33104) dsy_shipyard_addon 
EW19_shipyard_addon_02: 3G (1.9, 1.0) (42849, -33120) dsy_shipyard_addon 
EW19_Residential_Block_01: 3F (1.9, 3.0) (42209, -33080) dsy_Residential_Block 
EW19_basic_strut_01: 3F (1.9, 3.0) (42209, -33080) dsy_basic_strut 
EW19_basic_strut_02: 3F (1.9, 3.0) (42209, -32959) dsy_basic_strut 
EW19_basic_strut_03: 3F (1.9, 3.0) (42209, -33202) dsy_basic_strut 
EW19_04: 6F (1.8, 1.9) (30654, 30000) dsy_colony 
EW19_wplatform_rock2_1: 6C (1.3, 1.2) (-40503, 23968) wplatform_rock2 
EW19_wplatform_rock2_2: 6C (1.7, 1.3) (-39301, 28887) wplatform_rock2 
EW19_wplatform_rock2_3: 6G (1.3, 1.9) (52141, 24696) wplatform_rock2 
EW19_wplatform_rock2_4: 6G (1.1, 1.3) (45759, 22085) wplatform_rock2 

[ew37 EW Tau-63 (Blood Dragons) 2.000000]
<跳跃>
0
<基地>
Ew37_sun: 9E (2.2, 2.5) (15000, 92250) sun_1000 
Ew37_mining_buoy_01: 5E (1.0, 1.0) (0, 0) nav_buoy 

[ew45 EW Tau-65 (Golden Crysanthemums) 2.000000]
<跳跃>
KU Hokkaido: 6D (1.9, 1.0) (-19625, 28644) jumphole_light 
<基地>
EW45_Sun1: 5E (1.0, 1.0) (0, 0) sun_2000 
EW45_Sun2: 1> (1.5, 2.4) (-146000, -95000) sun_2000 
EW45_planet_1: 5G (2.4, 2.3) (53012, 14090) planet_gaspurcld_5000 
EW45_planet_2: 6C (2.0, 1.9) (-31110, 29620) planet_moonblu_1000 
EW45_planet_3: 4G (1.3, 1.5) (44780, -17290) planet_neutron_800 
EW45_planet_center: 6G (1.2, 1.1) (41000, 22000) planet_rckbrn_2000 
EW45_suprise_ku_fighter_01: 2C (2.8, 1.7) (-33049, -41860) suprise_ku_fighter 
EW45_suprise_ku_fighter_02: 2C (2.9, 1.6) (-34466, -41135) suprise_ku_fighter 
EW45_suprise_ku_fighter_03: 2C (2.7, 1.5) (-34795, -42651) suprise_ku_fighter 
EW45_suprise_ku_fighter_04: 3C (1.0, 1.7) (-32884, -39553) suprise_ku_fighter 
EW45_suprise_ku_fighter_05: 2C (2.9, 1.2) (-37926, -41432) suprise_ku_fighter 
EW45_suprise_ku_fighter_06: 3C (1.1, 1.5) (-34993, -39257) suprise_ku_fighter 
EW45_suprise_ku_fighter_07: 3C (1.2, 1.2) (-37959, -37939) suprise_ku_fighter 
EW45_suprise_ge_fighter2_01: 3C (1.0, 1.3) (-36897, -39746) suprise_ge_fighter2 
EW45_suprise_ge_fighter5_01: 2C (3.0, 1.6) (-33767, -40298) suprise_ge_fighter5 
EW45_suprise_ge_fighter4_01: 3C (1.2, 1.4) (-36099, -37741) suprise_ge_fighter4 

[ew63 EW Omega-50 2.000000]
<跳跃>
0
<基地>
EW63_Sun1: 5E (1.0, 1.0) (0, 0) sun_2000 

[ew85 EW Omicron-74 (Zoners) 2.000000]
<跳跃>
0
<基地>
EW85_Sun1: 5E (1.0, 1.0) (0, 0) sun_2000 
exit_jumphole: 4C (2.4, 2.1) (-29016, -6384) jumphole 

[fp7 FP Omicron Lost 3.600000]
<跳跃>
ST Omicron Delta: 4D (3.0, 1.3) (-30653, -864) jumphole_green 
<基地>
FP7_Sun: 5E (1.0, 1.0) (0, 0) sun_2000 
FP7_system_planet_1: 4D (2.3, 1.3) (-30937, -13054) planet_gaspurcld_5000 
Zone_FP07_iridium_marker: 4E (3.0, 2.6) (28529, -740) space_arch_chunk2b 
FP7_system_space_tankl4x4_01: 4D (1.8, 1.3) (-31285, -22383) space_tankl4x4 
FP7_system_space_tankl4x4_02: 4D (1.8, 1.3) (-31221, -22383) space_tankl4x4 
FP7_system_space_police_dmg_01: 4D (1.8, 1.3) (-31353, -21835) Ithaca_station 
FP7_system_space_beamx_messina_01: 4D (1.8, 1.3) (-31111, -22166) space_beamx_messina 

[ga01 GA Ile-de-France 1.000000]
<跳跃>
GA Orleanais: 14D (2.2, 3.0) (-106, 96162) jumpgate_ga 
GA Burgundy: 6O (2.0, 1.4) (101928, 14907) jumpgate_ga 
GA Picardie: -2L (2.8, 1.4) (71900, -71000) jumpgate_ga 
GA Picardie: 0@ (2.0, 1.0) (-50000, -55000) jumphole_red 
GA Orleanais: 12A (1.0, 2.6) (-32000, 70000) jumphole_red 
GA Burgundy: -2G (1.8, 1.0) (20000, -76000) jumphole_red 
<基地>
GA01_Sun1: 5E (1.0, 1.0) (0, 0) sun_2000 
GA01_planet_1: 10E (1.0, 2.6) (8000, 50000) planet_earthgaia_4000 
GA01_planet_1_npi: 10E (1.3, 2.6) (8150, 51288) planet_ice_200 
GA01_planet_2_npi: 10E (1.3, 2.6) (8152, 51285) planet_ice_200 
GA01_planet_3_npi: 10E (1.3, 2.6) (8151, 51287) planet_ice_200 
GA01_planet_2: 11K (2.1, 2.8) (68961, 65583) planet_crater_600 
GA01_planet_4: 3Q (1.5, 1.7) (123484, -17366) planet_desert_4000 
GA01_planet_5: 7A (2.9, 2.4) (-33184, 29429) planet_mercury_3000 
GA01_planet_6: 7E (1.5, 1.3) (1615, 22497) planet_desert_500 
GA01_planet_7: 3@ (2.1, 1.3) (-58385, -14732) planet_gasicecld_5000 
GA01_planet_8: -1E (2.3, 1.4) (1911, -63413) planet_ice_purple_3000 
GA01_planet_9: 0D (1.3, 2.1) (-4278, -58353) planet_mercury_1000 
GA01_planet_10: -2K (2.2, 1.5) (62529, -74131) planet_greenwater_2000 
GA01_planet_11: 2L (2.9, 2.0) (75248, -20675) planet_crater_800 
